Autores,Nombre_Publicacion,Año_pub_edicion,Año_original,Desfasaje,Confianza,Nota
stocking george ward,"race, culture and evolution. essays in the history of anthropology",1982,1968.0,14.0,alta,"La obra ""Race, Culture, and Evolution: Essays in the History of Anthropology"" de George W. Stocking, Jr. fue publicada originalmente en 1968 por The Free Press, Nueva York. La edición de 1982 por Univ"
stocking george ward,"race, language and cultur",1968,1968.0,0.0,alta,"La obra ""Race, Culture, and Evolution: Essays in the History of Anthropology"" de George W. Stocking Jr. fue publicada originalmente en 1968 por Free Press."
stocking george ward,revista de antropología social,2002,1995.0,7.0,alta,"El artículo ""Delimiting Anthropology: Historical Reflections on the Boundaries of a Boundless Discipline"" de George W. Stocking, Jr. fue publicado originalmente en la revista Social Research en 1995."
simmel georg,el individuo y la libertad. ensayos de crítica de la cultura,2001,1903.0,98.0,alta,"El capítulo ""Las grandes urbes y la vida del espíritu"" es un ensayo de Georg Simmel publicado originalmente en alemán en 1903 bajo el título ""Die Großstädte und das Geistesleben"". La obra ""El individu"
simmel georg,la ley individual y otros escritos,2003,1901.0,102.0,alta,"El capítulo ""Las dos formas de individualismo"" fue publicado originalmente en alemán como ""Die beiden Formen des Individualismus"" entre 1901 y 1902."
"engels friedrich, marx karl",antología,2015,1848.0,167.0,alta,El Manifiesto Comunista fue publicado por primera vez en Londres el 21 de febrero de 1848 en alemán.
"engels friedrich, marx karl",la ideología alemana,1985,1932.0,53.0,alta,"La obra ""La ideología alemana"" fue escrita por Marx y Engels entre 1845 y 1846, pero no fue publicada en su totalidad hasta 1932 por el Instituto Marx-Engels en Moscú. El capítulo ""Feuerbach"" es la pr"
"engels friedrich, marx karl",nc,2019,1848.0,171.0,alta,"""El Manifiesto del Partido Comunista"" (también conocido como ""El Manifiesto Comunista"") fue publicado por primera vez en Londres el 21 de febrero de 1848 en alemán. La concepción del ""materialismo his"
durkheim emile,lecciones de sociología (1898-1900),2003,1950.0,53.0,alta,"Los cursos que componen ""Lecciones de Sociología"" fueron impartidos por Durkheim entre 1890 y 1900, pero la primera publicación de estos textos como libro fue póstuma en 1950 en francés bajo el título"
godelier maurice,au fondement des sociétés humaines. ce que nous apprend l’anthropologie,2007,2007.0,0.0,alta,"La edición original de ""Au fondement des sociétés humaines. Ce que nous apprend l’anthropologie"" de Maurice Godelier fue publicada por Albin Michel en 2007."
godelier maurice,"economía, fetichismo y religión en las sociedades primitivas",1998,1984.0,14.0,alta,"La obra ""Économie, fétichisme et religion dans les sociétés primitives"" de Maurice Godelier fue publicada originalmente en francés en 1984."
godelier maurice,hispania,2000,2000.0,0.0,alta,El artículo fue publicado originalmente en español en la revista Hispania en el año 2000.
godelier maurice,ideas y valores,1967,1965.0,2.0,alta,"El artículo ""Objet et méthode de l'anthropologie économique"" de Maurice Godelier fue publicado originalmente en francés en la revista L'Homme - Revue française d'anthropologie en 1965, vol. V, número "
godelier maurice,métamorphoses de la parenté,2004,2004.0,0.0,alta,"La obra ""Métamorphoses de la parenté"" de Maurice Godelier fue publicada originalmente en francés por Fayard en 2004."
gluckman max,bricolage,2003,1940.0,63.0,alta,"El artículo ""Analysis of a Social Situation in Modern Zululand"" de Max Gluckman fue publicado originalmente en 1940 en la revista *Bantu Studies*."
germani gino,estructura social de la argentina. análisis estadístico,1987,1955.0,32.0,alta,"La primera publicación original de ""Estructura social de la Argentina. Análisis estadístico"" de Gino Germani fue en 1955 por la editorial Raigal en Buenos Aires."
germani gino,gino germano. la sociedad en cuestión. antología comentada,2010,1970.0,40.0,alta,"El capítulo ""La estratificación social y su evolución histórica en la Argentina"" de Gino Germani fue publicado originalmente como un ""mimeo"" en la Universidad de Harvard en 1970."
germani gino,la sociedad en cuestión. antología comentada,2010,2010.0,0.0,alta,"""La sociedad en cuestión: antología comentada"" es una compilación publicada por CLACSO en 2010. El capítulo ""Evolución reciente de las clases sociales"" fue publicado originalmente en 1955, pero el año"
germani gino,política y sociedad en una época de transición,1977,1962.0,15.0,alta,Varias fuentes indican 1962 como el año de la primera publicación original en español por Editorial Paidós.
simmel georg,problemas de la filosofía de la historia,1950,1892.0,58.0,alta,"La obra ""Problemas de la filosofía de la historia"" de Georg Simmel se publicó originalmente en alemán en 1892 bajo el título ""Die Probleme der Geschichtsphilosophie: Eine erkenntnistheoretische Studie"
simmel georg,sobre la individualidad y las formas sociales. escritos escogidos,2002,1908.0,94.0,alta,"""Sobre la individualidad y las formas sociales. Escritos escogidos"" es una compilación de textos de Georg Simmel. La mayoría de los capítulos mencionados provienen de su obra ""Sociología: estudios sob"
simmel georg,sobre la individualidad y las formas sociales; escritos escogidos,2002,1905.0,97.0,alta,"El capítulo ""Filosofía de la moda"" de Georg Simmel fue publicado originalmente como una monografía titulada ""Philosophie der Mode"" en 1905 en alemán por Pan-Verlag en Berlín."
simmel georg,sociología,NC,1908.0,,alta,"La obra ""Soziologie. Untersuchungen über die Formen der Vergesellschaftung"" de Georg Simmel, que incluye el capítulo ""La expansión del grupo y el desarrollo de la individualidad"", fue publicada origin"
habermas jürgen,el discurso filosófico de la modernidad,1989,1985.0,4.0,alta,"La obra ""El discurso filosófico de la modernidad"" de Jürgen Habermas se publicó originalmente en alemán en 1985 bajo el título ""Der Philosophische Diskurs der Moderne: Zwölf Vorlesungen""."
habermas jürgen,pensamiento post-metafísico,1990,1988.0,2.0,alta,"La obra original en alemán, ""Nachmetaphysisches Denken: Philosophische Aufsätze"", fue publicada por Suhrkamp en 1988."
gramsci antonio,antología,2013,1930.0,83.0,alta,"""Algunos temas de la cuestión meridional"" de Antonio Gramsci fue publicado por primera vez en enero de 1930 en la revista Lo Stato Operaio en París."
gramsci antonio,cuadernos de la cárcel,2000,1947.0,53.0,alta,"Los ""Cuadernos de la cárcel"" fueron escritos por Antonio Gramsci entre 1929 y 1935, pero la primera edición publicada en italiano fue en 1947."
gramsci antonio,nc,1984,1949.0,35.0,alta,"""Notas sobre Maquiavelo, sobre la política y sobre el Estado moderno"" (Note sul Machiavelli, sulla politica e sullo stato moderno) fue publicado por primera vez en italiano en 1949 como el cuarto volu"
gramsci antonio,"notas sobre maquiavelo, sobre la política y sobre el estado moderno",1980,1948.0,32.0,alta,"""Notas sobre Maquiavelo, sobre la política y sobre el estado moderno"" es parte de los ""Cuadernos de la cárcel"" de Antonio Gramsci, escritos entre 1929 y 1935 y publicados póstumamente por primera vez "
gluckman max,bricolage 1,2003,1940.0,63.0,alta,"""Analysis of a Social Situation in Modern Zululand"" de Max Gluckman fue publicado originalmente en 1940 en la revista Bantu Studies."
gluckman max,"clásicos y contemporáneos en antropología, ciesa-uam-uia",1958,1940.0,18.0,alta,"El artículo ""Análisis de una situación social en la Zululandia moderna"" de Max Gluckman fue publicado originalmente en 1940 en la revista *Bantu Studies*, Volumen 14, Número 1, páginas 1-30."
gluckman max,costumbre y conflicto en áfrica,2009,1955.0,54.0,alta,"""Custom and Conflict in Africa"" de Max Gluckman fue publicado originalmente por Basil Blackwell en Oxford en 1955. El libro es una compilación de seis charlas que Gluckman dio en el programa ""BBC Thir"
gluckman max,order and rebellion in tribal africa,1953,1954.0,-1.0,alta,"""Rituals of Rebellion in South-East Africa"" fue la Frazer Lecture de Max Gluckman, pronunciada el 28 de abril de 1953, y publicada por Manchester University Press en 1954. Posteriormente, se incluyó c"
rousseau jean-jacques,discurso sobre el origen de la desigualdad entre los hombres,1755,1755.0,0.0,alta,"La obra ""Discurso sobre el origen y los fundamentos de la desigualdad entre los hombres"" de Jean-Jacques Rousseau fue escrita en 1754 y publicada en 1755 en francés."
rousseau jean-jacques,el contrato social,1982,1762.0,220.0,alta,"""El contrato social"" de Jean-Jacques Rousseau fue publicado originalmente en francés en 1762."
rousseau jean-jacques,el mundo de juan jacobo rousseau,1991,1755.0,236.0,alta,"El ""Discurso sobre el origen de la desigualdad entre los hombres"" de Jean-Jacques Rousseau fue publicado originalmente en francés en 1755."
rousseau jean-jacques,nc,1755,1755.0,0.0,alta,"El ""Discurso sobre el origen y los fundamentos de la desigualdad entre los hombres"" fue publicado en 1755. El ""Discurso sobre la economía política"" fue publicado en 1754, pero a menudo se compila con "
redfield robert,yucatán. una cultura de transición,1944,1941.0,3.0,alta,"La obra original de Robert Redfield se tituló ""The Folk Culture of Yucatan"" y fue publicada por la University of Chicago Press en 1941. La edición en español ""Yucatán. Una cultura de transición"" fue p"
hobbes thomas,nc,1980,1651.0,329.0,alta,"La primera edición original de ""Leviatán"" de Thomas Hobbes fue publicada en inglés en 1651."
habermas jürgen,revista nueva sociedad,2023,2023.0,0.0,alta,"El artículo ""Un alegato en favor de la negociación en Ucrania"" de Jürgen Habermas fue publicado originalmente en alemán en el Süddeutsche Zeitung el 15 de febrero de 2023."
habermas jürgen,teoría de la acción comunitativa,1989,1981.0,8.0,alta,"La obra ""Teoría de la acción comunicativa"" de Jürgen Habermas fue publicada originalmente en alemán en 1981 bajo el título ""Theorie des kommunikativen Handelns""."
hall stuart,estudios culturales 1983. una historia teorética,2017,2016.0,1.0,alta,"La obra ""Cultural Studies 1983: A Theoretical History"" de Stuart Hall es una compilación póstuma de ocho conferencias que impartió en la Universidad de Illinois en 1983. Fue publicada por primera vez "
hall stuart,historia popular y teoría socialista,1984,1981.0,3.0,alta,"El capítulo ""Notas sobre la desconstrucción de «lo popular»"" de Stuart Hall fue publicado originalmente en inglés como ""Notes on Deconstructing 'the Popular'"" en la compilación ""People's History and S"
hall stuart,sin garantías: trayectorias y problemáticas en estudios culturales,2010,2010.0,0.0,alta,"""Sin garantías: trayectorias y problemáticas en estudios culturales"" es una compilación de artículos de Stuart Hall, publicados originalmente en español en 2010. Los capítulos mencionados son parte de"
laclau ernesto,el populismo como espejo de la democracia,2009,2005.0,4.0,alta,"El capítulo ""Populismo: ¿qué nos dice el nombre?"" de Ernesto Laclau fue publicado originalmente en inglés en 2005 en la compilación ""Populism and the Mirror of Democracy"" editada por Francisco Panizza"
laclau ernesto,política e ideología en la teoría marxista,1978,1978.0,0.0,alta,"La obra ""Política e ideología en la teoría marxista: Capitalismo, fascismo, populismo"" de Ernesto Laclau fue publicada originalmente en español por Siglo XXI Editores en 1978."
imbelloni josé,epítome de culturología,1936,1936.0,0.0,alta,"La edición que tengo registrada (1936) es la primera publicación original de la obra ""Epítome de Culturología"" de José Imbelloni."
imbelloni josé,religiosidad indígena americana,1979,1979.0,0.0,alta,"La edición de 1979 de Castañeda es la primera edición de esta compilación de trabajos de Imbelloni, que incluye el capítulo ""Formas templarias en los conceptos de espacio y tiempo""."
hobbes thomas,elementos filosóficos. del ciudadano,2010,1642.0,368.0,alta,"La obra ""Elementos filosóficos. Del ciudadano"" de Thomas Hobbes, conocida como ""De Cive"", fue publicada originalmente en latín en París en 1642."
hobbes thomas,"leviatán. o la materia, forma y poder de una república eclesiástica y civil",1651,1651.0,0.0,alta,"La primera edición original de ""Leviatán"" de Thomas Hobbes fue publicada en inglés en 1651."
radcliffe-brown alfred,el método de la antropología social,1975,1951.0,24.0,alta,"""El método de la antropología social"" de Anagrama (1975) es una compilación de artículos de Radcliffe-Brown. El capítulo ""El método comparativo en antropología social"" fue publicado originalmente como"
radcliffe-brown alfred,estructura y función en la sociedad primitiva,1969,1952.0,17.0,alta,"""Structure and Function in Primitive Society: Essays and Addresses"" de A.R. Radcliffe-Brown fue publicado originalmente en 1952."
radcliffe-brown alfred,sistemas políticos africanos,2010,1940.0,70.0,alta,"""Sistemas Políticos Africanos"" es una antología editada por Meyer Fortes y E. E. Evans-Pritchard, publicada por Oxford University Press en 1940. A. R. Radcliffe-Brown escribió el prefacio de esta obra"
redfield robert,mexicanos en chicago. diarios de campo,2008,2008.0,0.0,alta,"La obra ""Mexicanos en Chicago. Diario de campo de Robert Redfield, 1924-1925"" fue publicada por primera vez en 2008. Se trata de la edición de los diarios de campo inéditos de Robert Redfield, escrito"
redfield robert,the little community and peasant society and culture,1946,1956.0,-10.0,alta,"""Peasant Society and Culture"" fue publicado originalmente en 1956. ""The Little Community"" fue publicado originalmente en Suecia como parte de las Gottesman Lectures, y la combinación de ambas obras se"
platón,nc,1976,,,alta,El Fedón de Platón fue escrito alrededor del año 387 a.C. en griego clásico.
bourdieu pierre,la distinción. criterios y bases sociales del gusto,1998,1979.0,19.0,alta,"La obra ""La Distinction: Critique sociale du jugement"" de Pierre Bourdieu fue publicada originalmente en francés en 1979 por Les Éditions de Minuit."
bourdieu pierre,la dominación masculina,2005,1998.0,7.0,alta,"La obra ""La dominación masculina"" de Pierre Bourdieu fue publicada originalmente en francés en 1998 por Éditions du Seuil en París."
bourdieu pierre,la miseria del mundo,2007,1993.0,14.0,alta,"La obra ""La miseria del mundo"" de Pierre Bourdieu fue publicada originalmente en francés en 1993 por Éditions du Seuil."
bourdieu pierre,las estrategias de la reproducción social,2011,2011.0,0.0,alta,"""Las estrategias de la reproducción social"" de Pierre Bourdieu fue publicado originalmente en español en 2011 por Siglo XXI Editores. Es una compilación de textos previos, y el año original de la comp"
bourdieu pierre,meditaciones pascalianas,1999,1997.0,2.0,alta,"La obra ""Meditaciones pascalianas"" de Pierre Bourdieu fue publicada originalmente en francés en 1997 bajo el título ""Méditations pascaliennes"" por Éditions du Seuil."
bourdieu pierre,nc,1991,1982.0,9.0,alta,"""Qué significa hablar? Economía de los intercambios lingüísticos"" fue publicado originalmente en francés en 1982. La noción de ""La lógica de los campos"" es un concepto central en la obra de Bourdieu y"
bourdieu pierre,"poder, derecho y clases sociales",2001,2000.0,1.0,alta,"""Poder, derecho y clases sociales"" es una compilación de textos de Pierre Bourdieu publicada por Desclée de Brouwer en español en el año 2000. Los capítulos mencionados son artículos previos de Bourdi"
bourdieu pierre,razones prácticas,1997,1994.0,3.0,alta,"""Razones Prácticas"" (Raisons pratiques: Sur la théorie de l'action) de Pierre Bourdieu se publicó originalmente en francés en 1994 por Éditions du Seuil. El capítulo ""Espacio social y espacio simbólic"
bourdieu pierre,razones prácticas. sobre la teoría de la acción,1997,1994.0,3.0,alta,"La obra ""Razones Prácticas. Sobre la teoría de la acción"" de Pierre Bourdieu fue publicada originalmente en francés en 1994 bajo el título ""Raisons pratiques. Sur la théorie de l'action"" por Éditions "
bourdieu pierre,sociología y cultura,1990,1984.0,6.0,alta,"""Sociología y cultura"" es una compilación de textos de Pierre Bourdieu, cuya edición original en francés, titulada ""Questions de sociologie"", fue publicada en 1984 por Les Éditions de Minuit. Los capí"
lévi-strauss claude,antropología estructural,1987,1958.0,29.0,alta,"""Antropología Estructural"" es una compilación de artículos de Claude Lévi-Strauss, publicada originalmente en francés en 1958. Los capítulos ""El hechicero y su magia"" y ""La eficacia simbólica"" fueron "
barth frederik,nc,1976,1969.0,7.0,alta,"La obra ""Ethnic Groups and Boundaries: The Social Organization of Culture Difference"" editada por Fredrik Barth, se publicó originalmente en inglés en 1969. La edición de Fondo de Cultura Económica de"
barth frederik,"una disciplina, cuatro caminos",2012,2005.0,7.0,alta,"""Una Disciplina, Cuatro Caminos"" (One Discipline, Four Ways) fue publicado originalmente en inglés por la University of Chicago Press en 2005."
lévi-strauss claude,la antropología como ciencia,1988,1975.0,13.0,alta,"""Las tres fuentes de la reflexión etnológica"" de Claude Lévi-Strauss fue publicado por primera vez en 1975 en la compilación ""La antropología como ciencia"" editada por José R. Llobera y publicada por "
lévi-strauss claude,las estructuras elementales del parentesco,1981,1949.0,32.0,alta,"La obra ""Les Structures élémentaires de la parenté"" de Claude Lévi-Strauss fue publicada originalmente en francés en 1949."
lévi-strauss claude,mito e historia,1986,1978.0,8.0,alta,"La obra ""Mito e historia"" de Claude Lévi-Strauss corresponde a una serie de cinco conferencias dictadas en diciembre de 1977 para la radio CBC de Canadá, y publicadas originalmente en inglés en 1978 b"
lévi-strauss claude,mitológicas 1. lo crudo y lo cocido,1996,1964.0,32.0,alta,"""Mythologiques 1. Le Cru et le Cuit"" de Claude Lévi-Strauss fue publicado originalmente en francés en 1964 por Plon."
lévi-strauss claude,nc,1976,1958.0,18.0,alta,"""Anthropologie structurale"" se publicó originalmente en francés en 1958. ""Le Totémisme aujourd'hui"" se publicó originalmente en francés en 1962."
lévi-strauss claude,polémica sobre el origen y la universalidad de la familia,1956,1956.0,0.0,alta,"El capítulo ""La familia"" de Lévi-Strauss fue publicado originalmente en inglés en 1956 como parte de la obra ""Polémica sobre el origen y la universalidad de la familia"" junto con otros autores."
lévi-strauss claude,tristes trópicos,1988,1955.0,33.0,alta,"""Tristes Trópicos"" de Claude Lévi-Strauss fue publicado originalmente en francés en 1955 por la editorial Plon."
lévy-bruhl lucien,cuadernos,2012,1949.0,63.0,alta,"Los ""Carnets"" de Lucien Lévy-Bruhl fueron publicados póstumamente en francés en 1949 por Presses Universitaires de France, a partir de documentos redactados entre 1938 y 1939."
lévy-bruhl lucien,las funciones mentales en las sociedades inferiores,1947,1910.0,37.0,alta,"La obra ""Les fonctions mentales dans les sociétés inférieures"" de Lucien Lévy-Bruhl fue publicada originalmente en francés en 1910 por F. Alcan en París."
bourdieu pierre,crítica en desarrollo,2008,2000.0,8.0,alta,"El capítulo ""La fabricación del habitus económico"" fue publicado originalmente en francés en la revista *Actes de la recherche en sciences sociales* en diciembre de 2000, bajo el título ""L'inconscient"
bourdieu pierre,cuestiones de sociología,2000,1980.0,20.0,alta,"""Cuestiones de sociología"" (Questions de sociologie) de Pierre Bourdieu fue publicado originalmente en francés en 1980. El capítulo ""Algunas propiedades de los campos"" es parte de esta compilación."
bourdieu pierre,el concepto de honor en la sociedad mediterránea,1968,1960.0,8.0,alta,"El capítulo ""El sentimiento del honor en la sociedad de Cabilia"" de Pierre Bourdieu fue publicado originalmente como un manuscrito en francés en 1960 bajo el título ""Le sentiment de l'honneur dans la "
bourdieu pierre,el oficio de sociólogo. presupuestos epistemológicos,2002,1968.0,34.0,alta,"La primera publicación original de ""Le métier de sociologue. Prérequis épistémologiques"" fue en 1968 en francés."
bourdieu pierre,el sentido práctico,2007,1980.0,27.0,alta,"La obra ""Le Sens pratique"" de Pierre Bourdieu fue publicada originalmente en francés en 1980. Es importante no confundirla con ""Esquisse d'une théorie de la pratique"" (1972), que fue traducida al ingl"
bourdieu pierre,en argelia. imágenes del desarraigo,2012,1960.0,52.0,alta,"El capítulo ""Guerra y mutación social en Argelia"" fue publicado originalmente como artículo en la revista *Études méditerranéennes*, número 7, en 1960. La obra ""En Argelia. Imágenes del desarraigo"" es"
o’donnell guillermo,catacumbas,2008,1978.0,30.0,alta,"El capítulo ""Notas para el estudio de la burguesía local, con especial referencia a sus vinculaciones con el capital transnacional y el aparato estatal"" de Guillermo O'Donnell fue publicado originalme"
o’donnell guillermo,contrapuntos. ensayos escogidos sobre autoritarismo y democratización,1999,1997.0,2.0,alta,"""Contrapuntos. Ensayos escogidos sobre autoritarismo y democratización"" es una compilación de textos de Guillermo O'Donnell, publicada originalmente por Paidós en 1997. Los capítulos mencionados son p"
o’donnell guillermo,"democracia, agencia y estado. teoría con intención comparativa",2010,2010.0,0.0,alta,"La obra ""Democracia, agencia y estado. Teoría con intención comparativa"" de Guillermo O'Donnell fue publicada originalmente en español por Prometeo en 2010."
o’donnell guillermo,desarrollo económico. revista de ciencias sociales,1977,1977.0,0.0,alta,"Múltiples fuentes citan el artículo ""Estado y alianzas en la política argentina"" de Guillermo O'Donnell como publicado en 1977 en la revista Desarrollo Económico, N° 64."
o’donnell guillermo,nc,1977,1977.0,0.0,alta,"""Apuntes para una teoría del Estado"" fue publicado por CEDES en 1977. ""Contrapuntos. Ensayos escogidos sobre autoritarismo y democratización"" es una compilación de 1997 que incluye este y otros ensayo"
maingueneau dominique,introducción a los métodos de análisis del discurso,1976,1976.0,0.0,alta,"La edición que tienes registrada, ""Initiation aux méthodes de l'analyse du discours: problèmes et perspectives"" de Dominique Maingueneau, publicada por Hachette en francés, es la primera edición origi"
maingueneau dominique,nc,2009,2005.0,4.0,alta,"La edición en español de 2009 es una traducción de la segunda edición francesa de 2007. La primera edición original en francés, ""Analyser les textes de communication"", fue publicada en 2005 por Armand"
maingueneau dominique,revista digital discurso.org,2003,2003.0,0.0,alta,"El artículo ""Situación de enunciación y situación de comunicación"" de Dominique Maingueneau fue publicado en la revista digital discurso.org en 2003."
maingueneau dominique,texte et discours: catégories pour l´analyse,2004,2004.0,0.0,alta,"El capítulo ""Retour sur une catégorie: le genre"" de Dominique Maingueneau fue publicado originalmente en 2004 dentro de la compilación ""Texte et discours: catégories pour l'analyse"" editada por Jean-M"
maingueneau dominique,versión. estudios de comunicación y política,2010,2010.0,0.0,alta,"El artículo ""El enunciador encarnado: la problemática del ethos"" de Dominique Maingueneau fue publicado originalmente en español en la revista ""Versión. Estudios de comunicación y política"", número 24"
malinowski bronislaw,africa: journal of the international african institute,1929,1929.0,0.0,alta,"El artículo ""Practical Anthropology"" de Bronislaw Malinowski fue publicado en la revista ""Africa: Journal of the International African Institute"" en 1929."
malinowski bronislaw,diario de campo en melanesia,1989,1967.0,22.0,alta,"La obra ""Diario de campo en Melanesia"" de Bronislaw Malinowski fue publicada póstumamente en inglés en 1967 bajo el título ""A Diary in the Strict Sense of the Term"". Los diarios originales fueron escr"
malinowski bronislaw,estudios de psicología primitiva,1949,1927.0,22.0,alta,"""Estudios de psicología primitiva"" es una compilación de textos de Malinowski. El capítulo ""La familia matrilineal y el complejo de Edipo"" es parte de su obra ""Sex and Repression in Savage Society"", p"
bourdieu pierre,acta sociológica,2011,1986.0,25.0,alta,"""La ilusión biográfica"" de Pierre Bourdieu fue publicada originalmente en francés en 1986 en la revista *Actes de la recherche en sciences sociales*, n° 62/63: 69-72."
bourdieu pierre,antropología de argelia,2007,1958.0,49.0,alta,"La obra ""Sociologie de l'Algérie"" (Antropología de Argelia) de Pierre Bourdieu fue publicada originalmente en francés en 1958."
bourdieu pierre,argelia 60,2006,1977.0,29.0,alta,"""Algérie 60: Structures économiques et structures temporelles"" de Pierre Bourdieu fue publicado originalmente en francés por Éditions de Minuit en 1977. Es una versión abreviada de ""Travail et travail"
bourdieu pierre,cosas dichas,1988,1987.0,1.0,alta,"La obra ""Cosas Dichas"" de Pierre Bourdieu fue publicada originalmente en francés bajo el título ""Choses dites"" en 1987 por Les Éditions de Minuit."
lévi-strauss claude,antropología estructural ii,1977,1958.0,19.0,alta,"""La Geste d'Asdiwal"" fue publicada originalmente como un ensayo independiente en 1958 por la Imprimerie Nationale en París, antes de ser incluida en ""Anthropologie structurale deux"" en 1973."
lévi-strauss claude,el pensamiento salvaje,1988,1962.0,26.0,alta,"La obra ""El pensamiento salvaje"" (La Pensée sauvage) de Claude Lévi-Strauss fue publicada originalmente en francés en 1962 por Librairie Plon (París)."
lévi-strauss claude,historia de lince,1991,1991.0,0.0,alta,"""Histoire de Lynx"" de Claude Lévi-Strauss fue publicado originalmente en francés por Plon en 1991."
benedict ruth,el crisantemo y la espada: patrones de la cultura japonesa,2006,1946.0,60.0,alta,"La obra ""The Chrysanthemum and the Sword: Patterns of Japanese Culture"" de Ruth Benedict fue publicada originalmente en inglés en 1946 por Houghton Mifflin."
benedict ruth,el hombre y la cultura,1971,1934.0,37.0,alta,"La obra ""El hombre y la cultura"" de Ruth Benedict es la traducción al español de su obra original en inglés ""Patterns of Culture"", publicada en 1934."
benedict ruth,nc,2006,1946.0,60.0,alta,"La obra ""El crisantemo y la espada: patrones de la cultura japonesa"" de Ruth Benedict fue publicada originalmente en inglés en 1946."
nahmad-sittón salomón,desacatos,2010,2010.0,0.0,alta,"El artículo ""Antropología y políticas públicas indigenistas en el continente americano"" de Salomón Nahmad-Sittón fue publicado en el número 33 de la revista Desacatos en mayo-agosto de 2010. La revist"
nahmad-sittón salomón,nueva antropología,1978,1975.0,3.0,alta,"La revista ""Nueva Antropología"" se publicó por primera vez en julio de 1975."
morgan lewis,la sociedad primitiva,1971,1877.0,94.0,alta,"La obra ""La sociedad primitiva"" de Lewis H. Morgan fue publicada originalmente en inglés bajo el título ""Ancient Society"" en 1877."
