nombre_autor,genero,pais_nacimiento,region,fecha_nacimiento,fecha_muerte,disciplina,institucion,ciudad_institucion,fuente_principal,confianza,requiere_revision,wikidata_id,openalex_id,notas,pais_institucion
ander-egg ezequiel,masculino,Argentina,Argentina,1930,2024,Filosofía,Universidad Nacional de Cuyo,,wikidata,alta,False,Q5853748,,,
andersen george,masculino,Dinamarca,Europa,1900,1965,Ciencia Política,Queen's University,Atlanta,wikidata,alta,False,Q112255470,https://openalex.org/A5036982462,"Se encontró información sobre un autor académico llamado George Anderson (no Andersen) que coincide con varias de las pistas proporcionadas. Este George Anderson es un experto en federalismo y ciencia política, ha publicado con Marcial Pons, y sus obras incluyen 'Federalism: An Introduction' y 'Fiscal Federalism: An Introduction', que se relacionan con 'capítulo 1. un panorama del federalismo' y 'Introducción a la ciencia política'. Se menciona que fue presidente del Foro de Federaciones y ha trabajado con la ONU y el Banco Mundial en transiciones constitucionales. Su formación académica incluye Queen's y Oxford, y ha sido Senior Fellow en el Center on Constitutional Transitions en la Facultad de Derecho de la Universidad de Nueva York. No se encontró información que lo vincule con el 'Center for Clinical Research and Prevention' ni con Dinamarca como país de nacimiento, ni un año de nacimiento de 1900. Se encontró un Georg Christian Andersen nacido en Dinamarca en 1899 y fallecido en 1988, pero su perfil no coincide con las publicaciones y la disciplina del George Anderson experto en federalismo. También se encontró un George Kumler Anderson (1901-1980), profesor de inglés, y otros George Andersen/Anderson, pero no coinciden con la información de las publicaciones y la disciplina. Por lo tanto, se asume que la información de las publicaciones y la disciplina es la más relevante para identificar al autor, a pesar de la ligera diferencia en el apellido y la falta de coincidencia en el país de nacimiento y la institución previamente conocida.",Estados Unidos
anderson benedict,masculino,China,Asia,1936,2015,Ciencia Política,Universidad Cornell,Ithaca,wikidata,alta,False,Q212993,,,Estados Unidos
anderson perry,masculino,Reino Unido,Anglosajón,1938,,Historia,"Universidad de California, Los Ángeles (UCLA)",Nueva York,wikidata,alta,False,Q456392,,,Estados Unidos
andrews george reid,masculino,Estados Unidos,Anglosajón,1951,,Historia,University of Pittsburgh,Pittsburgh,wikidata,alta,False,Q30223702,https://openalex.org/A5056262307,,
angelomé federico,masculino,Perú,Latinoamérica,desconocido,,Historia,Universidad Nacional de La Plata,San Martín,openalex,media,False,,https://openalex.org/A5023204942,"El género se infiere del nombre 'Federico Pablo'. No se encontró información sobre el país o año de nacimiento. La disciplina se establece como Historia, ya que posee un Profesorado en Historia y un Doctorado en Historia en curso por la Universidad de Buenos Aires, y ha sido Ayudante de primera en la materia Historia Social General. También participa en proyectos de investigación relacionados con la historia. Se menciona la Universidad Nacional de San Martín en el contexto adicional, y el perfil académico de Scribd lo asocia con Argentina. Aunque el usuario proporcionó 'Perú' como país, las fuentes web indican una fuerte afiliación con Argentina y la Universidad de Buenos Aires. Se incluye la Universidad Nacional de San Martín como institución debido a la información proporcionada en el prompt y la asociación con Argentina en el perfil académico.",Argentina
annechiarico milena,femenino,Argentina,Argentina,desconocido,,Antropología,Universidad Nacional de las Artes (UNA),"Buenos Aires, Ciudad Autónoma de Buenos Aires, Caseros",gemini+web,media-alta,True,,https://openalex.org/A5025228231,"Milena Annecchiarico es Doctora en Antropología de la Universidad de Buenos Aires, Magíster en Antropología Cultural y Etnografía, y Licenciada en Ciencias Humanas del Ambiente, del Territorio y del Paisaje. Es docente e investigadora en la Carrera de Ciencias Antropológicas de la FFyL/UBA, en la Maestría en Antropología Social de la FFyL/UBA y en el Departamento de Artes Visuales de la Universidad Nacional de las Artes. También figura como parte de la Universidad Nacional Tres de Febrero. Su género se infiere por su nombre y por la forma en que se refieren a ella en las fuentes ('Doctora', 'investigadora', 'docente'). No se encontró información sobre su fecha o país de nacimiento.",Argentina
annunziata rocío,femenino,Argentina,Argentina,1983,,Ciencia Política,CONICET-UNSAM-UBA,Buenos Aires,openalex,media,False,,https://openalex.org/A5003917023,"Rocío Annunziata nació en la Ciudad de Buenos Aires en 1983. Su género se infiere por su nombre y por la forma en que se refieren a ella en las fuentes ('investigadora', 'profesora'). Estudió Ciencia Política en la Universidad de Buenos Aires y tiene un Doctorado en Estudios Políticos. Es investigadora del CONICET y profesora en la Universidad de Buenos Aires y la Universidad Nacional de San Martín.",Argentina
ansaldi waldo,masculino,Argentina,Argentina,1943,,"Historia, Sociología, Ciencia Política","Universidad de Buenos Aires, CONICET, Universidad Nacional de Córdoba","Buenos Aires, Córdoba",openalex,media,False,,https://openalex.org/A5008067142,"Waldo Ansaldi es identificado como masculino por su nombre y por la forma en que se refieren a él en todas las fuentes. Nació en Argentina el 5 de octubre de 1943. No se encontró información sobre su fallecimiento, por lo que se asume que vive o no se ha hecho pública su muerte. Aunque formalmente es Doctor en Historia, se describe como un científico social híbrido que recombina fragmentos de la ciencia política, la historiografía y la sociología, trabajando en un campo que denomina análisis sociohistórico crítico de procesos políticos de larga duración. Se menciona específicamente la sociología histórica como su campo de trabajo. Ha sido investigador del CONICET y profesor titular en la Universidad de Buenos Aires (UBA), específicamente en la Facultad de Ciencias Sociales, y obtuvo su doctorado en la Universidad Nacional de Córdoba.",Argentina
antonela,femenino,Rusia,Europa,1988,,Antropología,P.N. Lebedev Physical Institute of the Russian Academy of Sciences,Moscú,wikidata,alta,False,Q57643979,https://openalex.org/A5107656730,"Se encontró a Antonela dos Santos, Doctora en Antropología por la Universidad de Buenos Aires y becaria doctoral del CONICET, quien es coautora de la publicación 'Entre el futuro que ya llegó y el pasado que nunca pasó: diplomacias chaqueñas en el antropoceno'. Su investigación se centra en etnografía con el pueblo ranquel de La Pampa, Argentina. No se encontró información sobre una 'Antonela' asociada al P.N. Lebedev Physical Institute of the Russian Academy of Sciences, que es un instituto de física. Tampoco se encontró fecha de nacimiento.",Rusia
antonio pozzo,masculino,Italia,Europa,1829,1910,"Fotografía, Historia",University of Messina,Mesina,openalex,media,False,,https://openalex.org/A5033469908,"Se encontró información sobre dos autores académicos llamados Antonio Pozzo. Uno es un fotógrafo italiano que emigró a Argentina en 1850 y es conocido por sus fotografías de la Campaña del Desierto en 1879. Nació en Bordighera, Italia, en 1829 y falleció en Buenos Aires, Argentina, en 1910. Su trabajo se relaciona con la historia argentina y la representación de los pueblos indígenas, lo que lo vincula con las ciencias sociales, específicamente la historia a través de la fotografía documental. El otro Antonio Pozzo es un profesor de la Universidad de Messina, Italia, especializado en Economía Aziendale (Economía de la Empresa), con fecha de nacimiento desconocida, pero activo en la academia desde al menos 1992. Dada la información adicional proporcionada en el currículum universitario argentino (materias: Historia argentina, títulos de publicaciones: 'selección de imágenes del álbum de registro fotográfico de antonio pozzo en la expedición al río negro en 1879'), se concluye que el autor solicitado es el fotógrafo Antonio Pozzo. Su género es masculino. Su país de nacimiento es Italia. Su fecha de nacimiento es 1829. Su fecha de muerte es 1910. Su disciplina principal es la fotografía, pero su trabajo tiene un fuerte componente histórico y antropológico al documentar eventos y poblaciones en Argentina. No se encontró información sobre una institución académica específica a la que estuviera afiliado como 'autor académico' en el sentido tradicional, más allá de su rol como fotógrafo oficial en la expedición.",Italia
appadurai arjun,masculino,India,Asia,1949,,Antropología,New York University,Nueva York,wikidata,alta,False,Q560986,,,Estados Unidos
appleyard dennis,masculino,Estados Unidos,Anglosajón,1939,2025,Economía,"University of North Carolina at Chapel Hill, Davidson College",Davidson,gemini+web,media-alta,False,,https://openalex.org/A5024258895,"Dennis Ray Appleyard nació en 1939 en South Haven, Michigan, Estados Unidos. Falleció el 13 de marzo de 2025. Su género se infiere como masculino por su nombre y por las referencias en los obituarios como 'devoted husband, loving father'. Obtuvo su Maestría y Doctorado en Economía en la Universidad de Michigan. Fue profesor de Economía en la University of North Carolina at Chapel Hill y en Davidson College. Co-escribió el libro 'International Economics' publicado por McGraw-Hill.",Estados Unidos
aquim rosario,femenino,Bolivia,Latinoamérica,1964,,"Ciencias de la Comunicación, Filosofía y Ciencia Política, Desarrollo Rural",Universidad Católica Boliviana San Pablo,,wikidata,alta,False,Q132315599,,,
arango joaquín,masculino,Colombia,Latinoamérica,1947,,"Sociología, Demografía, Ciencia Política, Historia Económica y Social",Universidad Complutense de Madrid,Tuluá,openalex,media,False,,https://openalex.org/A5039803763,"Se identifica a Joaquín Arango como 'masculino' por su nombre y por la información en las fuentes que lo describen como 'Catedrático' y 'Profesor'. Se encontró una fecha de nacimiento de 1947 en la Fundación Pablo Iglesias, asociada a Joaquín Arango Vila-Belda. No se encontró información sobre su país de nacimiento, y la información previa de 'Colombia' parece referirse a otro Joaquín Arango (Joaquín María Arango Gómez, nacido en 1850). Su disciplina es claramente Sociología, ya que es Catedrático de Sociología en la Universidad Complutense de Madrid. Además, sus publicaciones y afiliaciones muestran un enfoque en Demografía, Ciencia Política e Historia Económica y Social, especialmente en el ámbito de las migraciones internacionales. Sus instituciones principales son la Universidad Complutense de Madrid, el Instituto Universitario de Investigación Ortega y Gasset y El Colegio de la Frontera Norte (México).",Colombia
arceo enrique,masculino,Argentina,Argentina,desconocido,,Economía,FLACSO Argentina,"San José, Buenos Aires, Bernal",gemini+web,media-alta,False,,https://openalex.org/A5032478842,"El género se infiere por el nombre 'Enrique' y por la forma en que se refieren a él en las publicaciones ('el autor', 'reconocido economista Enrique Arceo'). Se menciona que es abogado de la UBA y Doctor en Economía del Desarrollo de la Universidad de París, Francia, y que integra el área de Economía y Tecnología de FLACSO. También es profesor en cursos de posgrado de Economía Internacional en la Facultad de Ciencias Económicas (UBA) y FLACSO, y fue docente en la Facultad de Ciencias Sociales (UBA). Varias fuentes lo identifican como economista. Su nacionalidad argentina se deduce de su afiliación a FLACSO Argentina, la Universidad de Buenos Aires y la Universidad Nacional de Quilmes, así como por el enfoque de sus publicaciones en la economía argentina y latinoamericana. No se encontró información específica sobre su fecha de nacimiento o muerte.","Costa Rica, Argentina"
archenti nélida,femenino,Argentina,Argentina,1944,,"Sociología, Ciencia Política",Universidad de Buenos Aires,Buenos Aires,openalex,media,False,,https://openalex.org/A5011971631,"Nélida Archenti nació el 25 de junio de 1944 en la Ciudad de Buenos Aires, Argentina. Se graduó en Sociología en la Universidad de Buenos Aires en 1968 y obtuvo un Doctorado en Ciencias Sociales en la misma institución. Ha sido profesora titular en la carrera de Ciencia Política de la Facultad de Ciencias Sociales de la UBA y también ha dictado cursos en FLACSO, la Universidad Nacional del Comahue y la Universidad Central de Venezuela. Sus áreas de especialización incluyen Metodología de la Investigación Social, Opinión Pública y Estudios de Género. El nombre 'Nélida' es de género femenino y las fuentes web se refieren a ella con pronombres femeninos.",Argentina
archetti eduardo,masculino,Argentina,Argentina,1943,2005,Antropología Social,Universidad de Oslo,Oslo,wikidata,alta,False,Q2890271,,,Noruega
arcidiácono pilar,femenino,Argentina,Argentina,desconocido,,"Ciencia Política, Sociología",Universidad de Buenos Aires (UBA) y CONICET,Buenos Aires,openalex,media,False,,https://openalex.org/A5067444243,"El género se infiere del nombre 'Pilar' y de la forma en que se refieren a ella en las fuentes ('Doctora', 'Profesora Adjunta Regular'). El país de nacimiento se conoce previamente como Argentina y las instituciones mencionadas (CONICET, UBA) son argentinas. La fecha de nacimiento no se encuentra explícitamente en las fuentes. La disciplina se determina porque es Licenciada en Ciencia Política, Doctora en Ciencias Sociales, Magíster en Políticas Sociales, y Profesora Adjunta Regular de Ciencia Política y Sociología Política en la UBA. Las instituciones se confirman como CONICET y Universidad de Buenos Aires.",Argentina
ardevol elisenda,femenino,España,Europa,desconocido,,Antropología Social y Cultural,Universitat Oberta de Catalunya (UOC),Barcelona,wikidata,alta,False,Q61866596,https://openalex.org/A5091562173,Elisenda Ardèvol Piera es Profesora Catedrática en los Estudios de Artes y Humanidades de la Universitat Oberta de Catalunya (UOC) en el ámbito de la Antropología Social y Cultural. Su tesis doctoral de 1994 fue sobre Antropología Visual y cine etnográfico. Varias fuentes la identifican explícitamente como antropóloga social y cultural. No se encontró información sobre su año de nacimiento.,España
arendt hannah,femenino,Alemania,Europa,1906,1975,Teoría Política,New School for Social Research,,wikidata,alta,False,Q60025,,,Estados Unidos
